window_days,start_utc,end_utc,nobs,theta,kappa,sigma,lambda,half_life_minutes,effective_half_life_minutes,conditional_mixed_loglik
180,2022-11-22 00:00:00+00:00,2023-05-21 00:00:00+00:00,51750,0.00035333760784514093,0.9335532588816398,0.0016542249065042663,1.1188209759828585,1069.1751440105775,486.33037925084847,411815.6888437487
180,2022-12-22 00:00:00+00:00,2023-06-20 00:00:00+00:00,51784,0.00036871722360631073,0.8771316563019291,0.001590595142528707,1.229827201395582,1137.9499677557424,473.73110127887446,415018.1592173257
180,2023-01-21 00:00:00+00:00,2023-07-20 00:00:00+00:00,51767,0.00039996149288586575,0.8353381464601236,0.0015342537524286558,1.3535502225128013,1194.883705761627,455.99947176596623,417366.1210261047
180,2023-02-20 00:00:00+00:00,2023-08-19 00:00:00+00:00,51748,0.0002716117250690676,0.6664116203279734,0.001460353884241473,1.4511112417094592,1497.770911490247,471.3677277826135,421369.97292657546
180,2023-03-22 00:00:00+00:00,2023-09-18 00:00:00+00:00,51765,-2.9345510228023424e-05,0.7081416546479319,0.0006238118896674765,2.72236201705046,1409.5088651472768,290.9578404596666,458565.8544820917
180,2023-04-21 00:00:00+00:00,2023-10-18 00:00:00+00:00,51753,-9.613312558387725e-05,0.744133535233309,0.0005629694859752301,2.451443271735342,1341.3344416649302,312.34797355822496,463273.24800485437
180,2023-05-21 00:00:00+00:00,2023-11-17 00:00:00+00:00,51769,-0.0001042090525589018,0.8525125123349591,0.0005735248649165946,2.4706984463992665,1170.812070866295,300.35166361707553,462542.0569638318
180,2023-06-20 00:00:00+00:00,2023-12-17 00:00:00+00:00,51771,-6.587301650625484e-05,0.9213489877925714,0.0006072531377899829,2.8607247854899596,1083.3375335850876,263.9112824972804,459248.3192807453
180,2023-07-20 00:00:00+00:00,2024-01-16 00:00:00+00:00,51743,-3.312436936685313e-05,0.9139434872054676,0.0006661711241005395,2.8813859111324627,1092.1156001212653,262.989541946854,454874.60170147
180,2023-08-19 00:00:00+00:00,2024-02-15 00:00:00+00:00,51698,2.6541838427313452e-05,1.3244273920078786,0.0007030123259509363,2.902066024845469,753.632812209598,236.16077006679382,451773.5325001759
180,2023-09-18 00:00:00+00:00,2024-03-16 00:00:00+00:00,51695,0.00015863481972553357,1.5096042088201331,0.0008795341781814693,2.642723012320941,661.187835973533,240.3789217103249,442750.7938453531
180,2023-10-18 00:00:00+00:00,2024-04-15 00:00:00+00:00,51618,0.00017499210315093808,1.7017989550318275,0.0009498575188121888,2.442933240976241,586.5157791142573,240.81940468135812,438056.53885375784
180,2023-11-17 00:00:00+00:00,2024-05-15 00:00:00+00:00,51620,0.00010942994256430625,1.5506907235607839,0.0009541165403541669,2.256143512084022,643.669253217917,262.194747189263,437766.2084815694
180,2023-12-17 00:00:00+00:00,2024-06-14 00:00:00+00:00,51609,2.7255115984624664e-05,1.3461961513152052,0.0009372164519360698,2.2731556282378844,741.4461399486006,275.77643755025343,438832.2838285617
180,2024-01-16 00:00:00+00:00,2024-07-14 00:00:00+00:00,51650,-9.769044935250278e-05,1.0914151182564584,0.0009015026402258905,2.1705371143541488,914.5300658844111,305.99220001682727,441560.15429595235
180,2024-02-15 00:00:00+00:00,2024-08-13 00:00:00+00:00,51711,-4.144294611985526e-05,1.1419940853656565,0.0008910930790864128,2.10565625507843,874.0254899715422,307.33971806516456,442633.9142570701
180,2024-03-16 00:00:00+00:00,2024-09-12 00:00:00+00:00,51711,-0.00010880094448806857,1.124093487346153,0.0007173598885224545,2.550533470411763,887.9438865559024,271.6281003433704,452167.1750822269
180,2024-04-15 00:00:00+00:00,2024-10-12 00:00:00+00:00,51770,-0.00014506866506147395,0.9377565457798345,0.0006243108789599681,3.0125829391409997,1064.382802229633,252.66991452668125,459182.9896620227
180,2024-05-15 00:00:00+00:00,2024-11-11 00:00:00+00:00,51771,-0.00018650683677747204,0.9498849422912189,0.0006870404814945298,2.7162234612706375,1050.792465031318,272.2592542644328,455829.4596493178
