theta,kappa,sigma
8.064373116813578e-05,1.5761066089142055,0.001322726444494096
6.19672446507784e-05,1.877894970501675,0.001597564973617983
8.811622794302654e-05,1.97241542072184,0.0014729212384949478
5.027833203936366e-05,1.8504946486416722,0.0013087424328400037
8.67017699369525e-05,1.6271541263944236,0.00134555598782753
8.837643909225885e-05,1.568367264606598,0.001491248600902734
6.360307709397451e-05,1.5643223359172551,0.0012927662521910277
4.583252130177382e-05,1.7902164702361707,0.0015452767650714035
8.313979373206542e-05,1.3410315823665542,0.0012451759607082355
6.730782945727955e-05,1.5050152272041646,0.0015328749505588307
6.324534194564332e-05,1.5760608707322836,0.001269629227820459
4.433396829355192e-05,1.860041660316034,0.0012758668209178683
0.0001036219674971507,1.2221314144937605,0.0012151429309791774
6.50981007074893e-05,1.605793746011969,0.0016151314672389631
8.28797288868679e-05,1.4201406876063907,0.0014711304791119348
7.66558982871776e-05,1.7451854553732185,0.0013979789650402407
7.383491827629849e-05,1.767647118627163,0.0012969856563825534
9.130135451430646e-05,1.2715050972191104,0.0012386816976556355
4.2068116084188334e-05,2.0108593570484974,0.0016930828868885115
8.999079989667553e-05,1.545527831031744,0.0012040147561374387
5.443685134533094e-05,1.944540324373424,0.0016514716311853274
6.553769322038097e-05,1.455219165152496,0.001230879551016793
4.5581781242428445e-05,1.7897449380304786,0.0012071612965881206
7.925077365085092e-05,1.371729606425099,0.0012905088084058675
2.837330102868268e-05,1.99636359304466,0.0013906486352938167
0.00010266975612950272,1.2895791316656353,0.001382588563432533
6.753729012200728e-05,1.3629690276070219,0.0012598990310542413
0.0001017562609209381,1.4580114564678064,0.0012198395335328226
7.3414391896079e-05,2.1564226027393087,0.0015076524025349031
7.291223033096075e-05,1.6449403180829654,0.001502683575676874
5.602486676102251e-05,1.8841049833247498,0.0011782422334372057
8.579331601824312e-05,1.5653174086438588,0.0013941211926598264
6.21177892199314e-05,1.6828571061944382,0.0012924537379179165
5.442110535384679e-05,1.6242813510341594,0.0012995638851272544
5.4513436958307277e-05,1.965663907066987,0.001433140511322831
7.1386312280733e-05,1.7557494298495002,0.0016131497121735247
6.600585475258996e-05,1.6615402127167749,0.0014535530058522878
7.772425300295377e-05,1.6859499889547032,0.0013983329180440943
7.214777530130287e-05,1.3531260598378492,0.0012093180057386652
